id,title,type,content,datetime,language
16,"ah, lord god",1,ah lord god ah lord god thou hast made the heavens and the earth by thy great power ah lord god thou hast made the heavens and the earth by thine outstretched arm nothing is too difficult for thee nothing is too difficult for thee pause great and might god great is counsel and mighty in deed nothing nothing absolutely nothing nothing is too difficult for thee,2017-07-02 00:04:44.827334,en
17,aint gonna let no rock,1,ain gonna let no rock will make joyful noise will sing joyful song that is pleasing to the ear of the lord x ain gonna let no rock out praise me ain gonna let it sing in my place ain gonna let no rock out praise me ain gonna let it sing in my place,2017-05-11 23:02:32.591785,en
18,aint no rock,1,ain no rock lamarquis jefferson em ain no rock gonna cry in my place as long as alive em ll glorify his holy name x chorus and praise his holy name as long as alive em ll glorify his holy name x em ain no bird gonna sing in my place ll lift my voice em and glorify his holy name x em ain no tree gonna lift it branches ll lift my hands em and glorify his holy name x,2018-04-07 13:54:51.980958,en
19,aint nobody,1,ain nobody ve got friend ve got friend ain nobody like him x jesus he my friend repeat ain nobody love me like jesus ain nobody love me like the lord ain nobody love me like jesus he my friend ve got friends who have let me down ve got friends who have stood by my side but jesus christ he more than friend he my maker my savior in him satisfied x ain nobody words and music by reggie coates reggie coates heartfelt music po box mount hermon ca,2018-05-19 19:23:42.992754,en
20,all hail king jesus,1,all hail king jesus all hail king jesus all hail emmanuel em em king of kings lord of lords a am d bright morning star dm and throughout eternity g cm ll sing your praises em and ll reign with you am d throughout eternity,2018-07-06 22:26:26.246763,en
21,all heaven declares,1,all heaven declares a d all heaven declares the glory of the risen lord a d bm who can compare with the beauty of the lord m forever he will be the lamb upon the throne m gladly bow the knee and worship him alone a d will proclaim the glory of the risen lord a d bm who once was slain to reconcile man to god m forever you will be the lamb upon the throne m gladly bow my knee and worship you alone,2018-10-18 02:23:39.245112,en
22,all i really need is you,1,all really need is you album late late service dry bones dancing a a could fill every minute dadd so many things to do a a could serve you all my days dadd but not really know for you have given me all these things but see chorus a a all really need is you by me all really need is you inside me dadd a for realize you satisfy my soul a all really need is you a a dadd you ve provided for my every need a a dadd and if should complain about anything lord remind me gm you have given me all these things now see words and music by tim taber and chris lizotte c maranatha music and doulos publishing bmi div of maranatha music,2017-02-11 01:38:57.509097,en
23,all in all,1,all in all dennis jernigan am you are my strength when am weak you are the treasure that seek you are my all in all am seeking you as precious jewel lord to give up be fool you are my all in all chorus am jesus lamb of god worthy is your name am jesus lamb of god worthy is your name am taking my sin my cross my shame rising again bless your name you are my all in all am when fall down you pick me up when am dry you fill my cup you are my all in all,2017-09-25 18:00:18.649544,en
24,all that is good,1,all that is good all that is good all that is right all that is truth justice and light all that is pure bm holy indeed all that is you is all that need,2017-11-11 17:24:21.987283,en
25,all the power you need,1,all the power you need russell fragar songs travisgandy cjb net travis gandy verse g my god can never fail he been proved time and again em d g trust him and see he got all the power you need g he never early never late it takes courage it takes faith em d g trust him and see he got all the power you need chorus c bb he saves forgives and heals g takes back what the devil steals c my debt been paid in full d and ev ry day he does miracles verse got dreams turn them into plans too big for human hands trust him you ll see he got all the power you need bridge he real he real faith lot stronger than what you feel d he real he real believing for miracles ending em d g trust him you ll see he got all the power you need em d g trust him you ll see he got all the power you need tag d g all the power you need repeat x words and music by russell fragar russell fragar hillsongs australia ascap,2018-05-04 13:49:29.772622,en
