id,title,type,content,datetime,language
113,your beloved,1,your beloved by brent helming bm lord it was you who created the heavens bm lord it was your hand that put the stars in their place bm lord it is your voice that commands the morning em even oceans and their waves bow at your feet am em lord who am compared to your glory oh lord am em lord who am compared to your majesty chorus am your beloved em your creation and you love me as am you have called me chosen em for your kingdom unashamed to call me your owm em am your beloved mercy vineyard publishing all rights reserved international copyright secured,2017-03-13 14:57:28.415582,en
114,your kingdom come,1,your kingdom come travis gandy verse wash over us come into this place em let your spirit move as we exalt your name verse wash over us come into this place touch every heart while from heaven falls your grace chorus may your kingdom come em and your will be done on the earth as it is in heaven repeat verse our father who art in heaven hallowed be your name repeat words and music by travis gandy travis gandy erie street racine wi usa all rights reserved international copyright secured used by permission ccli registered www travisgandy cjb net,2017-06-27 08:42:28.797175,en
115,your love flows like a river,1,your love flows like river scott brenner michele brenner your love flows like river flows like fountain into the sea your love washes me over filling my spirit making me clean m as worship you come fill me with your love flow over me m as lift your name for all the world to see flow over me m as bless you lord with all that in my heart jesus my king m oh eternal one my sacrificial lamb flow over me your touch taking me over leading me gently into your arms your touch drawing me closer healing my spirit restoring my soul flow over me river flow over me river flow over me flow over me jesus wash over me wash over me wash over me flow over me fill me with your love fill me with your love fill me with your love flow over me copyright mercy vineyard publishing,2018-07-27 12:45:09.124194,en
116,your love is extravagant,1,your love is extravagant a a your love is extravagant a a your friendship mmmmm intimate a find moving to the rythms of your grace a your fragrance is intoxicating in our secret place a a your love is extravagant a spread wide in the arms of christ is the peace that covers sin a no greater love have ever known a you considered me friend capture my heart again,2017-07-14 17:09:10.955128,en
117,"your love reaches me, psalm 36",1,your love reaches me psalm by darren clarke from the cd touching the fathers heart your love reaches me mercy vineyard publishing tab by joshua michel and robin gleeson shepheard mailexcite com intro vamp d no rd dm fsus dsus gsus d no rd dm fsus dsus gsus you are the fountain of my life d no rd dm fsus dsus gsus and in your light find my reason d no rd dm fsus your love reaches to the stars dm fsus even the great deep d no rd dm fsus your love reaches to this heart dm fsus and it makes me sing your love reaches me bb it what need it what need bb dm bb oh lord how priceless is your unending love bb dm bb both high and low find refuge in your shadow d no rd xx dsus xx dm xx gsus xx fsus xx bb fsus xx,2018-12-13 16:18:54.645041,en
118,your love reaches me 2,1,your love reaches me darren clarke from songs travisgandy cjb net travis gandy psalm key verse a bm a sus you are the fountain of my life a bm a sus and in your light find my reason a bm cause your love reaches to the stars a sus even the great deep a bm and your love reaches to this heart a sus and it makes me sing chorus your love reaches me em it what need it what need your love reaches me em it what need it what need bridge oh lord how priceless bm is your unending love both high and low bm find refuge in your shadow words and music by darren clarke mercy vineyard publishing ascap admin by music services ccli song id,2017-01-01 12:43:19.218308,en
119,your love reaches me 3,1,your love reaches me darren clarke psalm key intro repeat for awhile gradually adding layers of sound instruments bb bb csus verse bb bb csus you are the foun tain of my life bb bb csus and in your light find my reason bb bb cause your love reaches to the stars csus even the great deep bb bb your love reaches to this heart csus and it makes me sing chorus your love reaches me bb gm it what need it what need your love reaches me bb gm it what need it what need bb gm bb gm bridge bb bb bb oh lord how priceless is your unending love bb bb both high and low find refuge in your shadow repeat words and music by darren clarke mercy vineyard publishing ascap admin by music services ccli song id the chord on the last line of chorus is not played when going into the bridge,2018-07-13 11:43:48.748980,en
120,your name is above all names,1,your name is above all names words and music by jeffrey scott copyright meadowgreen music co ascap adm by emi christian music group all rights reserved transcribed by scott conundrum mindspring com intro esus esus your name is above all names your name is above all names we cry holy holy is the lamb your name is above all names teach our hearts to sing your praise father god the ancient of days your only son you sent to die your name be glorified and our hearts forever sing,2017-02-06 15:27:06.386723,en
121,your name is holy,1,your name is holy vineyard you are the sovereign am your name is holy you are the pure spotless lamb your name is holy you are the almighty one your name is holy you are the christ god own son your name is holy in your name there is mercy for sin there is safety within bsus in your holy name in your name there is strength to remain to stand in spite of pain bsus in your holy name words and music by brian doerksen copyright vineyard songs awesome rockin song from the vineyard new cd hungry falling on my knees play it with an electric guitar hitting staccato power chords for the first part http www emsit com worship,2017-10-06 13:19:55.835190,en
122,youre all i want,1,you re all want you re all want you re all ve ever needed am you re all want let me know you are near,2018-03-03 05:28:09.725778,en
123,youre the holy lord almighty,1,you re the holy lord almighty rick cole part the waters that surround me make the wind and waves be still pierce the soul of my confusion em a sus clear the mist and rend the veil see the longing in my spirit know that choose to be yours lord hungry and thirsting em a sus to be filled and to be used chorus bb you re the holy lord almighty bb and come to seek your face bb you re my light my hope my mercy eb asus csus and jesus is your name mercy publishing all rights reserved international copyright secured use with permission,2018-09-22 17:12:29.504661,en
124,youre the source,1,title you re the source by matt frazier you ve kept watch over me since was child you ve stayed close when my heart has gone running wild bm you ve welcomed me back again and again bm you ve offered your kindness forgiven my sin you re the source of all the good gifts know no one else can equal the love you show bm though my praise for you often comes so slow how long for my life with you to grow in your actions you show the proof of your care in your presence comes comfort you re ev rywhere bm in your mercy find hope that will last bm in your second life am saved from my past,2019-02-07 10:07:06.981357,en
125,youre worthy of my praise (i will worship),1,title you re worthy of my praise will worship by david ruis gsus fsus will worship women echo with all of my heart echo csus gsus am d will praise you echo with all of my strength all my strength gsus fsus will seek you echo all of my days echo csus gsus am d will follow echo all of your ways all your ways will give you all my worship am will give you all my praise you alone long to worship am you alone are worthy of my praise will bow down echo hail you as king echo am will serve you echo give you everything give you ev rything will lift up echo my eyes to your throne echo am and will trust you echo will trust you alone trust you lone,2018-11-12 01:57:04.289911,en
126,youre worthy of my praise,1,you re worthy of my praise passion praise band from better is one day words and music by david ruis maranatha praise inc shade tree music ascap charted by scott conundrum mindspring com will give you all my worship am will give you all my praise you alone long to worship am you alone are worthy of my praise and will worship with all of my heart and will praise you with all of my strength and will seek you all my days and will follow follow all of your ways will give you all my worship am will give you all my praise you alone long to worship am you alone are worthy of my praise will bow down and hail you as king and will serve you ll give you everything and will lift up my eyes to your throne and will trust you will trust you alone,2017-11-15 09:46:10.953056,en
127,walking in the light of god,1,title walking in the light of god we are walking in the light of god we are walking in the light of god we are walking in the light of god we are walking in the light of god we are walking walking we are walking walking we are walking in the light of god spanish caminamos en la luz de dios caminamos en la luz de dios x caminamos vamos caminamos vamos caminamos en la luz de dios swahili siya humba ku ken yeni kwen kos siya humba ku ken yeni kwen kos x siya humba humba siya humba humba siya humba ku ken yeni kwen kos,2018-05-28 04:23:05.510388,en
128,we are one in the spirit,1,title we are one in the spirit em we are one in the spirit we are one in the lord am em we are one in the spirit we are one in the lord am em and we pray that all unity may one day be restored chorus em am and they ll know we are christians by our love by our love em am em yes they ll know we are christians by our love em we will walk with each other we will walk hand in hand am em we will walk with each other we will walk hand in hand am em and together we ll spread the news that god is in our land chorus em we will work with each other we will work side by side am em we will work with each other we will work side by side am em and we ll guard each man dignity and save each man pride chorus,2017-11-23 15:03:20.106404,en
129,we are your children,1,we are your children michael hansen chorus we are your children bm and we need your love you are our father and you come down from heav en up above to pour out mercy to pour out love verse bm with all of our weak nesses bm with all of our fail ures bm with all of the things that we re ashamed of bm we come to you bm we come to you words and music by michael hansen mercy vineyard publishing ascap admin by music services ccli song id,2018-03-13 15:24:58.955304,en
130,we believe,1,we believe we believe echo and we know echo we believe echo that you are the holy one of god we believe echo and we know echo dm em you are the way the truth the life you are the lord repeat we believe echo and we know echo we believe echo that you are the holy one of god we believe echo and we know echo em you are the way the truth the life you are the lord repeat,2017-06-03 01:05:36.004382,en
131,we bow down,1,title we bow down you are lord of creation and lord of my life lord of the land and the sea am you were lord of the heavens before there was time and lord of all lords you will be chorus we bow down and we worship you lord repeat x lord of all lords you will be you are king of creation and king of my life king of the land and the sea am you were king of the heavens before there was time and king of all kings you will be chorus,2017-09-19 01:47:49.090799,en
132,we come to praise you,1,title we come to praise you intro em lord we come into this place tonight em none of us is worthy none is right am take hold of our wandering hearts am there is no other place to start am what we need only you can bring meet us as we sing we come to praise you em we come to praise you you are god you are god you are god you are god am you are holy you are holy am you are holy you are holy we come to praise you am we come to praise you,2017-02-26 01:53:14.822743,en
133,we cry out for grace again,1,we cry out for grace again ed kerr key verse em bm em visit us we cry out for grace again cmaj am bsus come wash away away our sin em bm em humble us give us grateful hearts cmaj am bsus that you have called us all your friends em asus let the blood of je sus cleanse us em asus bsus make of us spot less bride b em cmaj bm em em come visit us humble us we cry out for grace gain verse em bm em live in us let us be your feet your hands cmaj am bsus to love this dying world em bm em shine in us overcome the darkness cmaj am bsus with your holy light of love em asus let the name of je sus draw men em asus bsus just as we were drawn be fore b em lord live in us shine in us cmaj bm em let us be your feet your hands chorus em we believe you are here to meet every need em em bm we believe compassion will flow from your loving arms em we draw near confident our cries reach your ear em bm sus sus you alone can help us obey everyday we live verse emaj m sus dwell in us manifest the glory of your cross and all you gave emaj m sus come to us let us see the myster of god with gain m thank you for this priceless treas ure m sus hidden in these jars of clay m emaj m lord dwell in us come to us manifest your glory m emaj m live in us shine in us manifest your glory m emaj m visit us humble us we cry out of grace gain words and music by ed kerr integrity hosanna music ascap integrity music inc ccli song id,2017-01-04 04:34:11.885478,en
134,we declare your majesty,1,we declare your majesty capo intro we declare your majesty em we proclaim that your name is exalted bm a for you reign magnificently rule victoriously bm em and your power is shown throughout the earth bm and we exclaim our god is mighty a lift up your name for you are holy bm sing it again all honor and glory a in adoration we bow before your throne repeat then end stephen brusca sabrusca aol com,2017-07-09 03:21:07.781974,en
135,we dont deserve your love,1,we don deserve your love by kyle graves chorus we don deserve your love x you came and died and were crucified love you lord x chorus you rose to be the king of all kings we worship you lord x chorus you ll come and then you ll be glorified again you are my lord x chorus,2018-10-06 04:33:43.017631,en
136,we enthrone you,1,we enthrone you bb gm jesus we enthrone you eb bb we proclaim that you are king gm dm standing here in the midst of us eb we lift you up with our praise bb gm and as we worship build throne eb bb bb gm and as we worship build throne eb bb bb gm and as we worship build throne eb bb come lord jesus and take your place,2018-12-21 10:42:13.908714,en
137,we exalt thee,1,title we exalt thee for thou lord bm art high above all the earth thou art exalted far above all gods for thou lord bm art high above all the earth thou art exalted far above all gods we exalt thee we exalt thee em we exalt thee lord x exalt thee,2017-06-10 03:01:48.330406,en
138,we exalt your name,1,we exalt your name by andy park mercy vineyard publishing all rights reserved international copyright secured used by permission tabbed by jezuzluvsu aol com got this out of the book for this so here goes dm am em you are the holy one the lord most high dm am em you reign in majesty you reign on high dm am em you are the worthy one lamb that was slain dm am you bought us with your blood esus and with you we ll reign chorus esus we exalt your name high and mighty one of israel we exalt your name lead us on to war esus in the power of your name m we exalt your name the name above all names m bm dm our victorious king we exalt your name additional verse you are the king of kings the lord of lords all men will bow to you before your throne,2018-07-28 09:32:37.771972,en
139,we fall down,1,we fall down words and music by chris tomlin copyright meadowgreen music co ascap adm by emi christian music group all rights reserved transcribed by scott conundrum mindspring com we fall down we lay our crowns at the feet of jesus the greatness of mercy and love at the feet of jesus and we cry holy holy holy and we cry holy holy holy and we cry holy holy holy is the lamb,2018-11-09 14:33:53.977330,en
140,we give thanks to you,1,we give thanks to you by mark altrogge intro am em am am we give thanks to you oh lord am almighty god am am the one who is who was and is to come am you ve taken up your power and am begun to reign am gsus the nations bow before the holy one em now your salvation em and your power and your kingdom have all come am dsus bm and you are lord of all em the accuser of the brothers em has been hurled down forever am overcome by the blood am overcome by your blood am overcome by the blood of the lamb so ch copyright mark altrogge,2017-10-09 23:08:04.268990,en
141,we have the spirit of david,1,we have the spirit of david am we have the spirit of david we have the spirit of praise am longing to be in his presence em rejoicing in the lord always bm lifting our hands in the temple your banner of worship we raise am we have the spirit of david we have the spirit of praise,2017-08-11 03:35:58.201916,en
142,we lift you up,1,song we lift you up by david harwood we lift you up so the world may adore you we lift you up high above all the earth we love you jesus because you first loved us we lift you higher than the heavens above bm bm we lift you up jesus our lord we lift you up jesus our lord,2018-12-18 21:07:19.611239,en
143,we proclaim the praises,1,we proclaim the praises we proclaim the praises of the mighty lord bm lift our voices in one accord em shout the anthem of the one adoooored we proclaim the praises of the mighty lord am bm royal priesthood holy nation praisin god with new determination am bm brought from darkness and that why we sing as we lift the praises of our lord and king pet,2017-07-29 22:57:18.652988,en
144,we rejoice,1,we rejoice we rejoice we rejoice in the name of the lord bb we rejoice in his love today by his love we can conquer and do anything bb we rejoice in his love today am dm boundless love boundless love bb he has conquered all of death and the grave am dm boundless love boundless love bb by his love our souls are saved,2018-03-01 14:24:23.660464,en
145,we shall see the king,1,we shall see the king vaughan from songs travisgandy cjb net travis gandy key verse there blessed time that com ing coming soon it may be evening morning or at noon there ll be wedding of the bride united with the groom we shall see the king when he comes chorus we shall see the king we shall see the king we shall see the king when he comes he is coming in pow we ll hail the blessed hour we shall see the king when he comes verse are you ready should the savior call today would jesus say well done or go away he building home for the pure the vile can never stay we shall see the king when he comes verse my brother are you ready for the call we ll crown our savior king and lord of all all the kingdoms of this world shall soon before him fall we shall see the king when he comes words and music by vaughan public domain this arr integrity hosanna music ascap integrity music inc ccli song id,2017-07-09 08:20:16.926968,en
146,we sing your mercies,1,we sing your mercies by mark altrogge this is on praise discovery volume em am dsus should he who made the stars be hung up on tree em am dsus and should the hands that healed be driven through for me em should he who gave us bread be made to swallow gall dsus should he who gave us life and breath be slaughtered for us all we sing your mercies em we sing your endless praises em we sing your everlasting love em we sing your mercies we sing your endless praises em em sovereign one who died sovereign one who died for us em am dsus should he who is the light be cast into the dark em am dsus and should the lord of love be pierced through his own heart em should he who gave us friends be deserted by us all dsus should he who lived sinless life be punished for our fall copyright pdi praise division of pdi music beechcraft ave suite gaithersburg md,2017-01-16 20:03:36.686758,en
147,we three kings,1,title we three kings by john hopkins em b em b em we three kings of orient are bearing gifts we traverse afar em am em b em field and fountain moor and mountain following yonder star d star of wonder star of night star with royal beauty bright em am em westward leading still proceeding guide us to thy perfect light born king on bethlehem plain gold bring to crown him again king forever ceasing never over us all to reign frankincense to offer have incense owns deity nigh prayer and praising all folks raising worship him god most high myrrh is mine its bitter perfume breathes life of gathering gloom sorrowing sighing bleeding dying sealed in the stone cold tomb glorious now behold him arise king and god and sacrifice alleluia alleluia earth to heaven replies,2018-02-02 15:55:43.969128,en
148,we want to see jesus lifted high,1,we want to see jesus lifted high words and music by doug horley em we want to see jesus lifted high banner that flies across the land em that all men might see the truth and know he is the way to heaven em we want to see we want to see we want to see jesus lifted high em we want to see we want to see we want to see jesus lifted high step by step we re moving forward little by little taking ground every prayer is powerful weapon strongholds all come tumbling down and down and down and down kingsway thankyou music admin in america by integrity music all rights reserved international copyright secured used by permission ccli,2019-01-14 22:47:34.060821,en
149,we will be together,1,title we will be together intro am am em chorus am am we will be to ge ther worship him for ev er em cry holy is the lord am am in the light of heav en thankful and for giv en em cry holy is the lord em you laid your glory down suffered and died alone em d to see the lost ones found gathered around your throne chorus em surrounded by your grace one in the holy light em there we will see your face there we will never die chorus am holy holy holy holy am holy holy holy holy bm bm we will be to ge ther worship him for ev er cry holy is the lord bm bm in the light of heaven thankful and for giv en cry holy is the lord,2017-03-21 01:14:05.478351,en
150,we will bow down,1,title we will bow down em am now listen close to what say em am you don know what will happen today em am he has plan he is the one em am he shed his blood we have our fun chorus em am lift up your hands and praise the lord do you want to join pick up your sword em am we have our fun we scream and shout but when it time we will bow down em am we hear the beat of those banging drums em am but we don know when the song is done em am our time is nice but its always wrong em am his time is best when we join along chorus em am so the story goes so the story ends em am please with your grace forgive my sins em am shine down on me make my life full em am and take with you to heaven my soul,2017-06-05 15:52:12.622638,en
151,we will dance,1,title we will dance by david ruis dsus dsus dsus sing song of celebration lift up shout of praise gsus for the bridegroom will come dsus the glorious one dsus and oh we will look on his face dsus dsus we ll go to much better place dsus dsus dsus dance with all your might lift up your hands and clap for joy gsus dsus the time drawing near when he will appear dsus and oh we will stand by his side asus strong pure spotless bride we will dance on the streets that are golden the glorious bride and the great son of man from ev ry tongue and tribe and nation dsus dsus will join in the song of the lamb dsus dsus sing aloud for the time of rejoicing is near repeat the risen king our groom is soon to appear repeat the wedding feast to come is now near at last repeat lift up your voice proclaim the coming lamb repeat,2017-11-21 17:32:42.945195,en
152,we will glorify,1,we will glorify we will glorify the king of kings we will glorify the lamb em we will glorify the lord of lords am who is the great am lord jehovah reigns in majesty we will bow before his throne em we will worship him in righteousness am we will worship him alone he is lord of heaven lord of earth he is lord of all who live em he is lord above the universe am all praise to him we give hallelujah to the king of kings hallelujah to the lamb em we will glorify the lord of lords am who is the great am,2017-11-20 00:23:24.012147,en
153,we will worship the lamb of glory,1,we will worship the lamb of glory dennis jernigan eb bb we will worship the lamb of glory eb eb bb g cm we will worship the king of kings cm we will worship the lamb of glory ab ab bb eb ab eb bb eb we will worship the king repeat eb eb bb ab bb eb and with our hands lifted high we will worship and sing eb bb ab bb eb and with our hands lifted high we come before you rejoicing eb ab eb with our hands lifted high to the sky cm when the world wonders why ab ab bb bb we ll just tell them we re loving our king oh ab ab bb bb we ll just tell them we re loving our king repeat using you are lord instead of he is lord,2019-01-30 17:40:24.154711,en
154,we will worship the lamb of glory 2,1,we will worship the lamb of glory verse we will worship the lamb of glory dim we will worship the king of kings dm we will worship the lamb of glory bb we will worship the king verse bless the name of the lamb of glory dim bless the name of the king of kings dm bless the name of the lamb of glory bb bless the name of the king chorus and with our hands lifted high bb we will worship and sing and with our hands lifted high bb we come before you rejoicing bb with our hands lifted high to the sky dm when the world wonders why gm csus am we ll just tell them we re loving our king gm csus we ll just tell them we re loving our king words and music by dennis jernigan shepherd heart music inc ascap admin by word music group inc ccli song id,2017-02-25 04:41:27.381742,en
155,we worship and adore you,1,we worship and adore you we worship and adore you bowing dow before you d songs of praises singing hallelujahs ringing b em hallelu jah hallelu jah hallelujah men,2017-10-21 14:31:59.850951,en
156,we would see jesus,1,title we would see jesus we would see jesus we would see the lamb of god bm we long to see your face for you are the great am you are holy you are love you are life to me flowing down from heaven above you are my shepherd in your care rest you will worship towards you lord my soul doth press,2017-11-23 14:25:38.197514,en
157,we wrestle not,1,we wrestle not bm we wrestle not against flesh and blood but we war against the powers of darkness bm for we are mighty through god by the power of his son that has rendered the enemy powerless bm we are pulling down ev ry work of satan bm pushing back ev ry force of hell bm casting down the imagination bm that exalteth itself bm we are tearing down ev ry deed of darkness bm breaking up ev ry evil plan bm casting down ev ry demon spirit bm by the blood of the lamb x,2017-12-17 01:29:20.323701,en
158,welcome into this place,1,welcome into this place gm welcome into this place bb welcome into this broken vessel am d you desire to abide in the praises of your people gm as we lift our hands gm bb and we lift our hearts gm c as we offer up this praise unto your name any question mail me at tuba him yahoo com,2018-07-22 07:15:05.130769,en
159,well not be defeated,1,title we ll not be defeated we ll not be defeated we ll not be defeated we ll not be defeated d anymore since the holy ghost came in and gave us power over sin d we ll not be defeated anymore jesus christ god only son fought the battle and he won d we ll not be defeated anymore,2017-07-15 08:37:05.287586,en
160,were going forward,1,we re going forward em we re going forward we won retreat em marching into battle victoriously we re going forward with the armor of the lord pushing satan back em with the word of god our sword times am we are advancing we won turn back em we re soldiers of war we ve been under attack am no demon on earth will cause us to retreat we re going forward in christ victory,2018-01-17 02:21:18.839601,en
161,were going up to the high places,1,we re going up to the high places em we re going up to the high places b we re going up to the high places em am we re going up to the high places b em gonna tear the devil kingdom down em we ve been deceived by the devil too long am b em we re gonna tear the devil kingdom down em what he said was his has been ours all along am b em we re gonna tear the devil kingdom down,2017-01-10 02:59:49.878470,en
162,were gonna worship the king,1,we re gonna worship the king we re gonna worship the king bb we re gonna praise his name we re gonna lift up holy hands we re gonna worship the king bb we re gonna praise him in the morning praise him in the night praise him all day long we re gonna lift up the mighty name of jesus can you hear me sing this song,2017-02-18 17:14:36.222931,en
163,weve been made more than conquerors,1,we ve been made more than conquerors fm f bb we ve been made more than conquerors gm gm overcomers in this life fm f bb we ve been made victorious gm gm through the blood of jesus christ when troubles come knockin at your door don be afraid you know it not like before don you give in don let it bring ya down you don have to worry anymore to chorus hold on we re getting stronger ev ry day there no reason for you to go astray don go leaning to your understanding cause you don have to worry anyway to ch through the power of jesus christ,2017-12-31 22:05:11.767934,en
164,what a mighty god we serve,1,what mighty god we serve em what mighty god we serve angels bow before him heaven and earth adore him what mighty god we serve,2018-09-16 08:48:35.650877,en
165,what child is this?,1,title what child is this verse am what child is this who laid to rest am e on mary lap is sleeping am whom angels greet with anthems sweet am am while shepherds watch are keeping chorus this this is christ the king am e whom shepherds guard and angels sing haste haste to bring him laud am e am the babe the son of mary verse am why lies he in such mean estate am e where ox and ass are feeding am good christian fear for sinners here am am the silent word is pleading verse am so bring him incense gold and myrrh am e come peasant king to own him am the king of kings salvation brings am am let loving hearts enthrone him,2018-01-22 10:46:32.875438,en
166,what if what they say is true,1,title what if what they say is true what if what they say is true what if you fed five thousand what if you calmed the sea can you calm me what if what they say is true what if you walked on water what if you healed disease can you heal me am don want to believe it am and don want to receive it am why would you do anything for me what if what they say is true what if you rose on easter what if you conquered the sea can you conquer me am your life to conquer death am and asked to walk my steps with you am can you stop the pain that covers me am what if what they say is true am what if you came to love me am what if you heard me say am love you too am love you too am love you too,2018-02-02 09:36:05.634230,en
167,what the lord has done in me,1,what the lord has done in me reuben morgan verse let the weak say am strong am let the poor say am rich let the blind say can see dm it what the lord has done in me repeat chorus am am ho sanna hosanna to the lamb that was slain am am ho sanna hosanna jesus died and rose gain verse in to the river will wade am there my sins are washed way from the heavens mercy streams dm of the saviour love for me verse will rise from waters deep am into the saving arms of god will sing salvation songs dm jesus christ has set me free words and music by reuben morgan reuben morgan hillsong music australia ascap admin in us canada by integrity hosanna music ccli song id,2018-08-05 09:20:14.190301,en
168,whatever you ask,1,whatever you ask lord see the things you ask of me bm faithfullness holyness and purity love your truth long to show it to the world for you so lord need your help to understand bm the other person that sometimes am never want to live day that can say to you em lord whatever you ask want to obey you bm to let my life be with servants heart em lord whatever you ask know that you can bm give me wisdom and courage to equal the bm task lord whatever you ask,2017-06-19 08:58:42.183048,en
169,when i get to heaven,1,when get to heaven bb when get to heaven gonna walk with jesus bb when get to heaven gonna see his face bb when get to heaven gonna talk with jesus saved by his wonderful grace bb because saved saved wonderfully saved washed in the blood of the lamb bb saved saved wonderfully saved and so glad am,2018-09-12 19:35:32.365981,en
170,when i think of his goodness,1,when think of his goodness eb when think of his goodness and what he done for me eb when think of his goodness and how he set me free eb want to praise praise praise praise praise eb eb ll night ll night sing shout dance,2018-06-12 06:43:22.888313,en
171,when the spirit,1,when the spirit capo th fret am when the spirit of the lord is within my hart e am will sing as david sang repeat am dm am will sing will sing e am will sing as david sang dm am will sing will sing e am will sing as david sang dance pray,2017-11-07 08:37:23.675244,en
172,whenever i see,1,whenever see geoff bullock verse whenever see your face then all of my fears can fly em whenever clearly hear the times when ask you why whenever feel your arms whenever you hold me close em for then will see your face as am found in you verse lead me to know you more and help me to understand you cause me to see in faith all of your dreams and plans for faith is perfected now in living and loving you in hope never wavering completely found in you chorus em now the heavens can be home dsus for my spirit has been freed em and my soul it rests in you dsus your life is found in me em c and this death it ends in life em c with this faith in love fulfilled and my eyes will finally see your face words and music by geoff bullock word music inc maranatha music ascap admin in america by word music group ccli song id,2017-07-10 11:26:45.461791,en
173,where do i go,1,title where do go intro em repeat chorus where do go when need shelter em where do go when need friend where do go when need some helping em where do go back on my knees again repeat ask me this question ll tell you no lies how did get this fire in my life all is not certain but will get by am m listen ll tell you why chorus sure as the winter comes after the fall sure as true love tears down any wall oh my jesus is able to carry it all am am he will answer our call chorus x,2017-08-21 06:44:27.339862,en
174,where i stand,1,title where stand em you are my rock you are my mighty king em you are the place where stand em you are my hope the strength of my life you hold me safe in your hand em whenever am afraid ll run to you em dsus d and when love is far away your love breaks through em you are my rock you are my mighty king em you are the place where stand em you are my hope the strength of my life you hold me safe in your hand,2018-02-02 16:32:51.559358,en
175,where justice rolls down,1,where justice rolls down open throughout chorus chorus where justice rolls down like mighty water and righteousness flows like an ever flowing stream and mercy resounds like the waves on the ocean let praises rise high on the song of the redeemed repeat nd time thru let praises rise high on the song of the redeemed v there is river that streams from the temple bm begins as trickle but ends in the sea as it grows healing it will give bm bsus where it flows everything will live v wade in the water and feel the strong current remember the stagnance of stale life before bm bm bsus god is here leave the past behind in these clear waters you will find,2018-09-25 17:44:49.448079,en
176,who can satisfy my soul like you?,1,who can satisfy my soul like you dennis jernigan db db gb ebm who can satisfy my soul like you bbm fm who on earth could comfort me gb ab and love me like you do db db gb gb eb who could ever be more faithful true db bb fm db bb fm gb ab will trust in you will trust in you my god db db db bbm ab gb there is fountain who is king gb db gb eb db gb ab bbm ab victorious warrior and lord of everything db db db bbm ab gb my rock my shelter my very own gb db gb eb db gb gb ab blessed redeemer who reigns upon ab db the throne db db gb ebm living water rain down your life on me bbm fm gb ab cleasing me refreshing me with life abundantly db db gb gb eb river full of life ll go where you lead db bb fm db bb fm gb ab will trust in you will trust in you my god chorus jbr tam k tamu edu,2017-04-14 09:47:35.966083,en
177,who is like our god,1,who is like our god brian duane brian doerksen brian thiessen who is like our god who is like our god em bm holy and intimate tender and strong em bm patient and powerful who is like our god who is like our god who is like our god em bm mighty and innocent jealous and kind em bm sovereign and merciful who is like our god em all of man glory fades away am like spring flower in the rain em no fallen angel is worthy to be worshipped nor anything created who is like our god who is like our god mercy vineyard publishing ascap admin by music services all rights reserved international copyright secured used by permission ccli,2018-01-03 08:03:16.873270,en
178,who will ascend,1,title who will ascend by dan wilt intro gadd gadd gadd gadd gadd gadd who will ascend god holy mountain gadd gadd who will abide in his presence gadd gadd he who is clean and is pure in heart gadd cmaj c who does not lift up his soul to any idol gadd gadd or speak what is false gadd gadd he will receive blessing from the lord gadd gadd and vindication from god gadd gadd gadd he will be of generation who seeks the lord cmaj c who seeks his face gadd the god of jacob cmaj c who seeks his face dsus the god of all lift up your heads you gates lift up your heads you ancient doors dsus lift up your heads that the king of glory may come in that the king of glory may come in that the king of glory may come in that the king of glory may come in that the king of glory may come in,2019-01-19 04:09:21.550982,en
179,whom have i in heaven,1,whom have in heaven god is the strength of my heart ddc whom have in heaven but you there is nothing on earth desire besides you my heart and my strength many times they fail em but there is one truth that always will prevail god is the strength of my heart god is the strength of my heart god is the strength of my heart em am and my portion forever forever and ever forever and ever,2017-06-26 02:08:12.137955,en
180,whose report will you believe,1,whose report will you believe em whose report will you believe am b em we shall believe the report of the lord em whose report will you believe am b em we shall believe the report of the lord am em his report says am healed am b em his report says am filled am em his report says am free am b his report says victory,2017-03-20 23:36:21.584443,en
181,will you worship,1,will you worship words and music by brian doerksen deep in my soul is tug of war bb csus struggling to know what this life is for try so hard to stay in control bb csus to hold back the tears to not let go eb bb don know why hang on so long gm when know the question you are asking me chorus x will you worship will you bow down bb before your lord and king will you love me will you give me bb your heart your everything eb bb right here and now make my choice gm with all my love will answer you chorus x will worship will bow down before my lord and king will love you will give you my heart my everything mercy vineyard publishing ascap admin by music services all rights reserved international copyright secured used by permission ccli,2019-01-18 19:01:22.392002,en
182,wind of god,1,wind of god gary sadler key verse a no bsus spirit come like mighty wind a no bsus raise these bones back to life gain bsus lift us up from this desert land bsus breathe upon us and we will stand a no bsus come and blow wind of god a no bsus blow wind of god verse no no bsus lead us out of the wilder ness no no bsus be our savior our hope and rest bsus all all idols have turned to dust bsus you lone can deliver us chorus wind of god come and blow holy spirit let your power flow a no a no stir our hearts breath of life speak your word and we will rise a no a no come re vive come re store we can live without you lord a no come and blow come and blow wind of god a no words and music by gary sadler integrity hosanna music ascap integrity music inc ccli song id,2018-01-13 19:44:36.168247,en
183,worthy is the lamb,1,worthy is the lamb bm worthy is the lamb am worthy is the lamb am d you came to earth you paid the price bm em for me you made the sacrifice am am bm wor thy is the lamb,2017-12-11 20:11:09.941657,en
184,worthy worthy,1,worthy worthy worthy worthy am worthy are you lord am to be praised and adored worthy worthy am worthy are you lord am to be praised and adored worship you,2018-11-23 12:17:07.794552,en
